nodeName,module
ABCB9,black
ALG14,black
ALG5,black
APOO,black
AURKB,black
B4GALT2,black
B9D1,black
BHLHA15,black
BIRC5,black
BUB1,black
BUB1B,black
CALR,black
CALU,black
CAV1,black
CCL25,black
CCNA2,black
CCNB1,black
CCNB2,black
CCNE1,black
CCNF,black
CDC20,black
CDC45,black
CDC6,black
CDCA2,black
CDCA3,black
CDCA5,black
CDCA8,black
CDK1,black
CENPA,black
CENPM,black
CENPN,black
CENPO,black
CENPS,black
CENPU,black
CENPW,black
CEP55,black
CHAC1,black
CHAC2,black
CHAF1B,black
CHEK1,black
CKS1B,black
CKS2,black
CLPTM1L,black
CLSPN,black
CNKSR1,black
CPNE5,black
CRYBB1,black
DEPDC1,black
DEPDC1B,black
DERL3,black
DHCR24,black
DLGAP5,black
DNAJB11,black
DTL,black
DUSP5,black
E2F8,black
EAF2,black
ELL2,black
ERLEC1,black
ESCO2,black
ESPL1,black
EXO1,black
FABP5,black
FBXO10,black
FBXO16,black
FEN1,black
FKBP11,black
FOXM1,black
FOXRED1,black
GGH,black
GINS1,black
GINS2,black
GINS3,black
GLDC,black
GMNN,black
GMPPB,black
GPRC5D,black
GTSE1,black
HASPIN,black
HERPUD1,black
HID1,black
HJURP,black
HMGB3,black
HMMR,black
HSP90B1,black
HSPA13,black
HSPA5,black
IFI27L1,black
IGF1,black
IGLL1,black
IGLL5,black
ISOC2,black
ITM2C,black
JCHAIN,black
KCNN3,black
KDELR2,black
KIF11,black
KIF18B,black
KIF20A,black
KIF2C,black
KIF4A,black
KIFC1,black
LAMP5,black
LRRC59,black
MAGED1,black
MANF,black
MCM2,black
MCM4,black
MFGE8,black
MIXL1,black
MTFR2,black
MYBL2,black
MYDGF,black
MZB1,black
NEK2,black
NT5DC2,black
NUF2,black
OIP5,black
ORC1,black
OSTC,black
OXCT2,black
PARM1,black
PBK,black
PCNA,black
PDIA4,black
PDIA5,black
PDIA6,black
PERP,black
PHGDH,black
PIF1,black
PIMREG,black
PIR,black
PLAAT2,black
PLK4,black
PNOC,black
POLQ,black
POU2AF1,black
PPIB,black
PRDX4,black
PTTG1,black
PYCR1,black
QPCTL,black
RAD51,black
RAD51AP1,black
RAD54L,black
RPN1,black
RRM2,black
SCD,black
SDC1,black
SDF2L1,black
SEC11C,black
SELENOS,black
SHCBP1,black
SIX5,black
SKA1,black
SLC16A14,black
SLC17A9,black
SLC25A4,black
SLC35B1,black
SPACA3,black
SPAG5,black
SPATS2,black
SPC24,black
SPC25,black
SPCS2,black
SRPRB,black
SSR3,black
ST7,black
STMN1,black
SUB1,black
TCF19,black
TEDC2,black
TK1,black
TMEM106C,black
TMEM198,black
TMEM214,black
TNFRSF13B,black
TNFRSF17,black
TOP2A,black
TPX2,black
TRAIP,black
TRAM2,black
TRIP13,black
TROAP,black
TTK,black
TUBG1,black
TWIST2,black
TXNDC11,black
TXNDC5,black
TYMS,black
UAP1,black
UBE2C,black
UBE2T,black
UCHL1,black
UFD1,black
XBP1,black
ZWINT,black
